toxic comment link,Project Developer/External User,Type,What is the problem,What happened afterwards,toxic reply link,Additional comment,Priority/Severe
https://github.com/containers/podman/issues/21130#issuecomment-1876266559,External/Author,Toxicity towards tools,The user expressed a toxic commet after a problem was fixed,-,,,-
https://github.com/yt-dlp/yt-dlp/issues/8973#issuecomment-1894690946,External,Identity Attack,The user calls out Elon Musk,The replied also followed by toxic comment.,https://github.com/yt-dlp/yt-dlp/issues/8973#issuecomment-1894694991,The thread talks about Elon paying someone,-
https://github.com/godotengine/godot/issues/87321#issuecomment-1897847522,Internal/Contributor/Author,Unprofessional/self dep,use of word damn,The issue was closed as not planned,,,-
https://github.com/storybookjs/storybook/issues/25739#issuecomment-1911408940,Internal/Member,Entitlement/vulgarity,Use of word sucks. The user expects special behavior from TypeScript,Last comment of the thread. The problem remains unsolved. The issue closed as completed.,,,-
https://github.com/nextcloud/server/issues/43269#issuecomment-1933486086,External,Insult/Entitlement,"""During the time discussed here, an RC could have been released"" - user expecting special behavior",One of the moderators calls out the user. The issue is closed as completed and locked as off-topic. associated PR merged,https://github.com/nextcloud/server/issues/43269#issuecomment-1933628524,One of the moderators calls out the toxic comment author. This call out may come as offensive too.,-
https://github.com/godotengine/godot/issues/88399#issuecomment-1949602336,Internal/Contributor,Unprofessional,The user uses unprofessional word (nasty) to describe a bug,The issue was closed as completed,,,
https://github.com/docker/compose/issues/11510#issuecomment-1954320769,External,Vulgarity/Toxicity towards tools,The user was thinking it was time waste to work on this issue and toxic towards docker-compose,The problem was resolved and the issue was closed as completed.,,,-
https://github.com/alacritty/alacritty/issues/7762#issuecomment-1961496601,External,Entitlement,The user made a rude entitled comment,Another user calls out the rude comment and convent went on until it was closed. The actual problem was resolved,https://github.com/alacritty/alacritty/issues/7762#issuecomment-1962110181,The reply at toxic comment further below,"Severity-priority issue. Severe/priority issue by one of the maintainers (""It's just an open source project, success is completely irrelevant"")"
https://github.com/louislam/uptime-kuma/issues/4526#issuecomment-1962781957,Internal/Collaborator,Toxicity towards tools,The user says they are fed up to notification provider,The issue is  as completed. The problem was fixed in another pull request.,,,-
https://github.com/strapi/strapi/issues/19339#issuecomment-1962854660,External,Vulgarity,Made a vulgar comment due to impatience,The issue is still open and the problem is not resolved,,,"Severity-priority issue.  Users continue to report the severity (""yes its frickin annoying. my whole project is on hold now.). No solution yet"
https://github.com/godotengine/godot/issues/88722#issuecomment-1964644499,Internal/Contributor/Author,Arrogance,The user is forcefully imposing their view on others,"1. Missing documentation
2. Proposes workaround
3. Workaround does not work
4. The issue is still open",,,-
https://github.com/telegramdesktop/tdesktop/issues/27544#issuecomment-1981325730,Internal/Contributor/Author,Unprofessional/self dep,"Damn, i tried probably 5 times and it didn't open. Now you wrote it and it appeared. Beta was always on",The issue was closed as completed and locked as resolved and limited conversation to collaborators,,,-
https://github.com/curl/curl/issues/13126#issuecomment-2009802057,Internal/Member,Insult,The tone of the comment was dismissive and appears as insult.,The problem was resolved in next update. The issue was closed as completed.,,,-
https://github.com/syncthing/syncthing/issues/9482#issuecomment-2019572276,External/Author,Vulgarity,"The use made a vulgar comment: ""WTF happen here?!?!?!""",Bug was not solved (needs triage). The issue is still open,,"There were some reply down the line which expressed negativity: ""I was super annoyed with the issues ..."" https://github.com/syncthing/syncthing/issues/9482#issuecomment-2050647774","Several users mention facing the issue. It remains unsolved. Maintainers reported they tried to look into the issue but could not find it (""There's no lack of looking into it, multiple maintainers did multiple times. I know this doesn't help anyone and isn't a satisfactory update, unfortunately it's the only one I have."")"
https://github.com/wailsapp/wails/issues/3364#issuecomment-2030062694,External/Author,Unprofessional,Use of word 'DAMN',The issue was closed as completed.,,,-
https://github.com/telegramdesktop/tdesktop/issues/27692#issuecomment-2032844293,External/Author,Insult,The user insulted as he felt his submitted bug reports were not appreciated,The issue was closed as not planned and locked as resolved and limited conversation to collaborators,,,Severity-priority issue. User think maintainer does not even acknowledges the bug
